"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Daniel O'Regan",2900,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Sam Reinhart",3600,"BUF@VGK 10/17/2017 10:00PM ET",0.750,"BUF"
"C","Pierre-Edouard Bellemare",3100,"BUF@VGK 10/17/2017 10:00PM ET",0.900,"VGK"
"D","Victor Mete",3500,"MON@SJ 10/17/2017 10:30PM ET",1.400,"MON"
"C","Vadim Shipachyov",3700,"BUF@VGK 10/17/2017 10:00PM ET",3.500,"VGK"
"U","Rourke Chartier",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Brad Hunt",3100,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"U","Cody Goloubef",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Ales Hemsky",3300,"MON@SJ 10/17/2017 10:30PM ET",0.250,"MON"
"C","Ryan Carpenter",3000,"MON@SJ 10/17/2017 10:30PM ET",0.667,"SJ"
"W","Daniel Carr",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Jannik Hansen",3600,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"U","Kevin Labanc",4300,"MON@SJ 10/17/2017 10:30PM ET",4.000,"SJ"
"U","Erik Haula",3400,"BUF@VGK 10/17/2017 10:00PM ET",3.250,"VGK"
"U","Jordie Benn",3100,"MON@SJ 10/17/2017 10:30PM ET",1.600,"MON"
"G","Maxime Lagace",7400,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Nicholas Baptiste",2900,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"C","Chris Tierney",3500,"MON@SJ 10/17/2017 10:30PM ET",2.250,"SJ"
"D","Josh Gorges",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.900,"BUF"
"U","Peter Holland",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Jason Pominville",4700,"BUF@VGK 10/17/2017 10:00PM ET",3.583,"BUF"
"D","Griffin Reinhart",2700,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"VGK"
"U","Joe Pavelski",6400,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
"U","Matt Tennyson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.917,"BUF"
"W","Matt Moulson",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"D","Paul Martin",3100,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"W","Seth Griffith",3300,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"W","Barclay Goodrow",2500,"MON@SJ 10/17/2017 10:30PM ET",0.000,"SJ"
"W","Melker Karlsson",3200,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"D","Deryk Engelland",3400,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"U","Brandon Mashinter",2600,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Ryan O'Reilly",5000,"BUF@VGK 10/17/2017 10:00PM ET",2.167,"BUF"
"W","William Carrier",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.800,"VGK"
"U","Logan Couture",6200,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
"C","Jacob De La Rose",3200,"MON@SJ 10/17/2017 10:30PM ET",0.500,"MON"
"D","Radim Simek",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Paul Martin",3100,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"D","Nate Schmidt",4200,"BUF@VGK 10/17/2017 10:00PM ET",3.400,"VGK"
"W","Erik Haula",3400,"BUF@VGK 10/17/2017 10:00PM ET",3.250,"VGK"
"U","Nathan Beaulieu",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.750,"BUF"
"D","Justin Braun",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"D","Jake McCabe",3000,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"D","David Schlemko",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Tomas Nosek",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.300,"VGK"
"D","Victor Antipin",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.833,"BUF"
"U","Cody Eakin",4500,"BUF@VGK 10/17/2017 10:00PM ET",2.000,"VGK"
"D","Dylan DeMelo",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"D","Joakim Ryan",2900,"MON@SJ 10/17/2017 10:30PM ET",1.250,"SJ"
"D","Cody Goloubef",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"U","Sam Reinhart",3600,"BUF@VGK 10/17/2017 10:00PM ET",0.750,"BUF"
"W","Evander Kane",6200,"BUF@VGK 10/17/2017 10:00PM ET",6.500,"BUF"
"C","Joe Thornton",5100,"MON@SJ 10/17/2017 10:30PM ET",1.375,"SJ"
"U","Joel Ward",3500,"MON@SJ 10/17/2017 10:30PM ET",0.667,"SJ"
"U","Evander Kane",6200,"BUF@VGK 10/17/2017 10:00PM ET",6.500,"BUF"
"C","Sean Malone",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"BUF"
"C","Peter Holland",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Mikhail Grabovski",3000,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Jack Eichel",6600,"BUF@VGK 10/17/2017 10:00PM ET",4.167,"BUF"
"U","Timo Meier",3500,"MON@SJ 10/17/2017 10:30PM ET",2.875,"SJ"
"U","Daniel Carr",3000,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Nicolas Deslauriers",2900,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"W","Brandon Pirri",3100,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Deryk Engelland",3400,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"U","Luca Sbisa",3100,"BUF@VGK 10/17/2017 10:00PM ET",2.000,"VGK"
"D","Noah Juulsen",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","David Clarkson",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Barclay Goodrow",2500,"MON@SJ 10/17/2017 10:30PM ET",0.000,"SJ"
"D","Marc-Edouard Vlasic",3700,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"U","William Carrier",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.800,"VGK"
"G","Robin Lehner",7300,"BUF@VGK 10/17/2017 10:00PM ET",1.920,"BUF"
"U","Colin Miller",3300,"BUF@VGK 10/17/2017 10:00PM ET",1.000,"VGK"
"U","Jordan Nolan",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.100,"BUF"
"C","Johan Larsson",3200,"BUF@VGK 10/17/2017 10:00PM ET",1.917,"BUF"
"U","Victor Mete",3500,"MON@SJ 10/17/2017 10:30PM ET",1.400,"MON"
"W","Joe Pavelski",6400,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
"W","Paul Byron",3200,"MON@SJ 10/17/2017 10:30PM ET",2.000,"MON"
"W","Alex Galchenyuk",3700,"MON@SJ 10/17/2017 10:30PM ET",1.600,"MON"
"U","Jon Merrill",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.500,"VGK"
"W","Oscar Lindberg",3700,"BUF@VGK 10/17/2017 10:00PM ET",2.200,"VGK"
"C","Mikhail Grabovski",3000,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Daniel O'Regan",2900,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"D","Jake Bischoff",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Karl Alzner",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"MON"
"W","Tomas Hyka",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Mikkel Boedker",4200,"MON@SJ 10/17/2017 10:30PM ET",2.750,"SJ"
"D","Zach Bogosian",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.000,"BUF"
"W","Artturi Lehkonen",4500,"MON@SJ 10/17/2017 10:30PM ET",1.700,"MON"
"U","Justin Bailey",3000,"BUF@VGK 10/17/2017 10:00PM ET",4.500,"BUF"
"U","Brendan Leipsic",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.900,"VGK"
"D","Marco Scandella",2800,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"U","Tomas Plekanec",4300,"MON@SJ 10/17/2017 10:30PM ET",2.600,"MON"
"C","Reid Duke",2500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"W","Marcus Sorensen",2700,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Brenden Dillon",3000,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"U","Benoit Pouliot",3500,"BUF@VGK 10/17/2017 10:00PM ET",1.417,"BUF"
"U","Mikkel Boedker",4200,"MON@SJ 10/17/2017 10:30PM ET",2.750,"SJ"
"U","Brayden McNabb",2900,"BUF@VGK 10/17/2017 10:00PM ET",1.400,"VGK"
"W","Reilly Smith",4000,"BUF@VGK 10/17/2017 10:00PM ET",1.800,"VGK"
"C","Rourke Chartier",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"U","Seth Griffith",3300,"BUF@VGK 10/17/2017 10:00PM ET",0.700,"BUF"
"U","Jason Garrison",3200,"BUF@VGK 10/17/2017 10:00PM ET",2.400,"VGK"
"U","Brent Burns",7500,"MON@SJ 10/17/2017 10:30PM ET",4.000,"SJ"
"D","Rasmus Ristolainen",5000,"BUF@VGK 10/17/2017 10:00PM ET",2.583,"BUF"
"W","Joonas Donskoi",3400,"MON@SJ 10/17/2017 10:30PM ET",1.750,"SJ"
"G","Charlie Lindgren",6500,"MON@SJ 10/17/2017 10:30PM ET",0,"MON"
"U","Tomas Hertl",4500,"MON@SJ 10/17/2017 10:30PM ET",2.375,"SJ"
"U","Artturi Lehkonen",4500,"MON@SJ 10/17/2017 10:30PM ET",1.700,"MON"
"U","Dylan DeMelo",3000,"MON@SJ 10/17/2017 10:30PM ET",1.500,"SJ"
"U","Nate Schmidt",4200,"BUF@VGK 10/17/2017 10:00PM ET",3.400,"VGK"
"U","Charles Hudon",3900,"MON@SJ 10/17/2017 10:30PM ET",2.500,"MON"
"D","Clayton Stoner",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Josh Gorges",3000,"BUF@VGK 10/17/2017 10:00PM ET",0.900,"BUF"
"U","Jake McCabe",3000,"BUF@VGK 10/17/2017 10:00PM ET",1.583,"BUF"
"W","Jason Pominville",4700,"BUF@VGK 10/17/2017 10:00PM ET",3.583,"BUF"
"G","Oscar Dansk",6500,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Torrey Mitchell",2900,"MON@SJ 10/17/2017 10:30PM ET",0.125,"MON"
"W","Filip Sandberg",2500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"C","Logan Couture",6200,"MON@SJ 10/17/2017 10:30PM ET",2.500,"SJ"
"U","Jannik Hansen",3600,"MON@SJ 10/17/2017 10:30PM ET",0.750,"SJ"
"W","Brendan Gallagher",4400,"MON@SJ 10/17/2017 10:30PM ET",2.700,"MON"
"U","Andrew Shaw",3900,"MON@SJ 10/17/2017 10:30PM ET",1.700,"MON"
"W","Ales Hemsky",3300,"MON@SJ 10/17/2017 10:30PM ET",0.250,"MON"
"W","Justin Bailey",3000,"BUF@VGK 10/17/2017 10:00PM ET",4.500,"BUF"
"U","Clayton Stoner",2700,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Jacob Josefson",2700,"BUF@VGK 10/17/2017 10:00PM ET",0.833,"BUF"
"G","Troy Grosenick",6500,"MON@SJ 10/17/2017 10:30PM ET",0,"SJ"
"W","Jordan Nolan",2900,"BUF@VGK 10/17/2017 10:00PM ET",0.100,"BUF"
"U","Brandon Davidson",2800,"MON@SJ 10/17/2017 10:30PM ET",1.125,"MON"
"D","Karl Alzner",3200,"MON@SJ 10/17/2017 10:30PM ET",1.500,"MON"
"U","Brandon Pirri",3100,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"D","Jason Garrison",3200,"BUF@VGK 10/17/2017 10:00PM ET",2.400,"VGK"
"W","Alex Tuch",3500,"BUF@VGK 10/17/2017 10:00PM ET",7.000,"VGK"
"W","Teemu Pulkkinen",2600,"BUF@VGK 10/17/2017 10:00PM ET",0,"VGK"
"U","Jacob De La Rose",3200,"MON@SJ 10/17/2017 10:30PM ET",0.500,"MON"
